//---------------------------------------------------------------------------------------------------------------------																																	
//技能表-不懂不要乱改
//修改请用EXCEL打开修改-先打开EXCEL->文件->打开->选择本文件(文件类型选择有TXT格式的)	
//在弹出的文本导入向导中的第二步,文本识别符号(Q)->默认为",选择改为{无},然后就下一步然后结束,这样文件的引号不会被去掉																															
//---------------------------------------------------------------------------------------------------------------------
//以下功能不是每样都有效的,具体请以实际情况为准
//编号		技能编号
//Name		技能名称
//等级		技能所需等级
//伤害		技能伤害
//魔法值	技能所需魔法值
//AG		技能所需AG值
//距离		技能使用距离
//延迟		技能使用间隔
//智力		技能所需智力
//统率		技能所需统率																															
//属性1 	[-1(无). 0(冰). 1(毒). 2(雷). 3(火). 4(土). 5(风). 6(水)]
//		如果技能是0(冰)属性,那么你使用此技能,那么最后攻击的效果会增加你冰属性伤害,一般就是首饰的冰属性,如果没戴冰属性的首饰也没用.(对法师技能无效)																												
//属性2 	[-1(无). 0(物理). 1(魔法)]
//skillusetype	[0(一般技能). 1(职责技能_战盟). 3(大师等级:被动). 4(大师等级: 主动)]																																	
//skillbrand 	前置技能. 若是大师等级的主动强化技能必须置入先行技能条件之类的技能
//KillCout	符合一定的杀人才能用(职务技能和幻影寺院使用)
//盟主		符合此条件才能使用
//副盟主	符合此条件才能使用	
//战斗队长	符合此条件才能使用
//法师		符合此条件才能使用	
//战士		符合此条件才能使用
//弓箭手	符合此条件才能使用	
//魔剑士	符合此条件才能使用	
//圣导师	符合此条件才能使用
//召唤术师	符合此条件才能使用
//SkillRank	大师技能使用
//SkillGroup	大师技能使用
//rAG		无用
//rShield	无用
//持续时间	无用
//所需力量	大师技能加点的时候用到,但是目前没有任何技能需求力量和敏捷
//所需敏捷	大师技能加点的时候用到,但是目前没有任何技能需求力量和敏捷
//图标编号	无用
//技能类型	无用
//---------------------------------------------------------------------------------------------------------------------
//编号	Name	等级	伤害	魔法值	AG	距离	延迟	智力	统率	属性1	属性2	SkilluseType	SkillBrand	KillCout	盟主	副盟主	战斗队长	法师	战士	弓箭手	魔剑士	圣导师	召唤术师	SkillRank	SkillGroup	所需点数	rAG	rShield	持续时间	所需力量	所需敏捷	图标编号	技能类型
13	"爆炎"	80	70	150	0	3	0	150	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15	"小挪移"	83	0	90	25	6	0	188	0	-1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	"毁灭烈焰"	88	100	200	0	0	0	200	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
39	"暴风雪"	93	80	100	5	6	0	223	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	"毒炎"	96	95	110	7	6	0	243	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
40	"星晨一怒"	100	0	180	45	6	0	258	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	"回旋刃"	0	90	150	10	6	0	0	0	-1	-1	0	75	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
																																	
18	"圣盾防御"	0	0	30	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
19	"地裂斩"	0	0	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
20	"牙突刺"	0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
21	"升龙击"	0	0	8	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
22	"旋风斩"	0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
23	"天地十字剑"	0	0	10	0	2	0	100	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
																																	
41	"霹雳回旋斩"	0	0	10	10	2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
47	"钻云枪"	28	15	8	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
49	"流星焰"	110	30	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	"生命之光"	120	0	22	24	0	0	0	0	-1	-1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
43	"袭风刺"	160	70	15	12	2	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	"雷霆裂闪"	170	60	25	20	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	"半月斩"	0	90	22	15	4	0	0	0	-1	-1	0	75	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																	
24	"多重箭"	0	0	5	0	6	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26	"治疗"	8	0	20	0	6	0	100	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
27	"守护之光"	13	0	30	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
28	"战神之力"	18	0	40	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
52	"穿透箭"	130	70	7	9	6	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
51	"冰封箭"	0	105	10	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
46	"天堂之箭"	0	120	20	15	8	0	0	0	-1	-1	0	75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
																																	
30	"召唤 哥布林"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31	"召唤 石巨人"	0	0	70	0	0	0	170	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
32	"召唤 暗杀者"	0	0	110	0	0	0	190	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
33	"召唤 雪人王"	0	0	160	0	0	0	230	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34	"召唤 暗黑骑士"	0	0	200	0	0	0	250	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
35	"召唤 守护兽巴里"	0	0	250	0	0	0	260	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
36	"召唤 黄金斗士"	0	0	350	0	0	0	280	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
																																	
55	"玄月斩"	0	80	15	20	2	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
56	"天雷闪"	0	0	15	0	5	0	100	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
57	"风舞回旋斩"	0	75	20	15	5	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
73	"幻魔光束"	0	85	130	7	6	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
																																	
50	"恶魔的咆哮(怪物)"	60	120	160	0	0	0	100	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

//圣导师																																	
60	"冲击"	0	10	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
61	"星云火链"	74	100	25	0	6	0	20	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
62	"地裂"	0	150	0	50	10	10000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
63	"星云召唤"	98	0	70	30	0	30000	34	400	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
64	"致命圣印"	82	0	50	50	0	0	25	300	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
65	"圣极光"	92	250	0	100	10	5000	29	340	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
66	"冲击波"	0	50	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
74	"神圣火焰"	0	150	30	10	6	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
//75	"技农府颇捞胶"	120	0	100	35	0	0	37	450	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
78	"火舞旋风"	102	130	45	10	6	0	32	70	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
79	"星爆"	0	0	0	0	2	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
//职务技能																																	
67	"束缚术"	0	0	70	50	2	0	0	0	-1	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2
68	"解除束缚"	0	0	25	30	0	0	0	0	-1	-1	1	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
69	"增益魔法"	0	0	35	30	0	0	0	0	-1	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
70	"透明术"	0	0	80	60	0	0	0	0	-1	-1	1	0	5	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
71	"解除透明"	0	0	40	30	0	0	0	0	-1	-1	1	0	2	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
72	"解除魔法"	0	0	90	70	0	0	0	0	-1	-1	1	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
																																	
//炎狼兽																																	
76	"炎狼闪电链"	110	60	50	20	6	1500	0	0	-1	0	0	0	0	0	0	0	2	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0
																																	
//怪物技能																																	
200	"怪物召唤"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	"魔法攻击免疫"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	"物理攻击免疫"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	"祝福药水"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	"灵魂药水"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
// 弓箭手新增技能																																	
77	"无影箭"	220	0	50	10	6	200	0	0	-1	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
																																	
//幻影寺院专用技能																																
210	"保护咒语"	0	0	30	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
211	"束缚咒语"	0	0	30	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2
212	"追踪咒语"	0	0	30	0	0	0	0	0	0	0	0	0	10	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
213	"腐蚀咒语"	0	0	30	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
// 召唤术士技能 																																	
214	"摄魂咒"	35	35	50	0	6	0	93	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
215	"链雷咒"	75	70	85	0	6	0	75	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
217	"伤害反射"	80	0	40	10	5	5000	111	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
218	"狂暴术"	83	0	100	50	5	5000	181	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
219	"昏睡术"	40	0	20	3	6	0	100	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
221	"虚弱阵"	93	0	50	15	6	4000	173	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
222	"破御阵"	111	0	70	15	6	4000	201	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
223	"爆裂击"	50	40	90	5	6	4000	100	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
224	"安魂弥撒"	75	65	110	10	6	4000	100	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
225	"污染"	85	80	120	15	6	4000	158	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
230	"烈光闪"	93	95	115	7	6	0	216	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
// 220级技能																																	
232	"致命一击"	100	110	30	24	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	"法神附体"	220	0	200	50	6	0	118	0	-1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
234	"防护值恢复"	100	0	40	10	6	0	37	0	-1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
235	"五重箭"	100	40	10	7	6	0	0	0	-1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
236	"火剑袭"	100	140	20	25	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
237	"闪电轰顶"	220	110	120	10	6	0	118	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
238	"黑暗之力"	100	190	50	15	6	0	16	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0

// 大师技能																																
300	"攻击成功率上升"	1	400	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
301	"攻击成功率上升"	2	900	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
302	"攻击成功率上升"	3	1600	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
303	"攻击成功率上升"	4	2700	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
304	"攻击成功率上升"	5	4400	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
305	"对人攻击率上升"	1	1000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
306	"对人攻击率上升"	2	2300	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
307	"对人攻击率上升"	3	4000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
308	"对人攻击率上升"	4	6500	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
309	"对人攻击率上升"	5	10000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
310	"对人防御率上升"	1	600	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
311	"对人防御率上升"	2	1300	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
312	"对人防御率上升"	3	2100	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
313	"对人防御率上升"	4	3000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
314	"对人防御率上升"	5	4000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
315	"装备耐久持久增加"	1	20	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
316	"装备耐久持久增加"	2	40	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
317	"装备耐久持久增加"	3	60	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
318	"装备耐久持久增加"	4	80	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
319	"装备耐久持久增加"	5	100	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
320	"饰品耐久持久增加"	1	20	0	0	0	0	0	0	-1	-1	3	319	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
321	"饰品耐久持久增加"	2	40	0	0	0	0	0	0	-1	-1	3	320	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
322	"饰品耐久持久增加"	3	60	0	0	0	0	0	0	-1	-1	3	321	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
323	"饰品耐久持久增加"	4	80	0	0	0	0	0	0	-1	-1	3	322	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
324	"饰品耐久持久增加"	5	100	0	0	0	0	0	0	-1	-1	3	323	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
325	"抵抗力上升(毒)"	1	1	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	1	0	0	0	0	0	6	0
326	"抵抗力上升(毒)"	2	2	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	1	0	0	0	0	0	6	0
327	"抵抗力上升(毒)"	3	3	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	1	0	0	0	0	0	6	0
328	"抵抗力上升(毒)"	4	4	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	1	0	0	0	0	0	6	0
329	"抵抗力上升(毒)"	5	5	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	2	0	0	0	0	0	6	0
330	"抵抗力上升(雷)"	1	1	0	0	0	0	0	0	2	-1	3	329	0	0	0	0	3	3	3	3	3	3	2	7	1	0	0	0	0	0	7	0
331	"抵抗力上升(雷)"	2	2	0	0	0	0	0	0	2	-1	3	330	0	0	0	0	3	3	3	3	3	3	2	7	1	0	0	0	0	0	7	0
332	"抵抗力上升(雷)"	3	3	0	0	0	0	0	0	2	-1	3	331	0	0	0	0	3	3	3	3	3	3	2	7	1	0	0	0	0	0	7	0
333	"抵抗力上升(雷)"	4	4	0	0	0	0	0	0	2	-1	3	332	0	0	0	0	3	3	3	3	3	3	2	7	1	0	0	0	0	0	7	0
334	"抵抗力上升(雷)"	5	5	0	0	0	0	0	0	2	-1	3	333	0	0	0	0	3	3	3	3	3	3	2	7	2	0	0	0	0	0	7	0
335	"抵抗力上升(冰)"	1	1	0	0	0	0	0	0	0	-1	3	334	0	0	0	0	3	3	3	3	3	3	2	8	1	0	0	0	0	0	8	0
336	"抵抗力上升(冰)"	2	2	0	0	0	0	0	0	0	-1	3	335	0	0	0	0	3	3	3	3	3	3	2	8	1	0	0	0	0	0	8	0
337	"抵抗力上升(冰)"	3	3	0	0	0	0	0	0	0	-1	3	336	0	0	0	0	3	3	3	3	3	3	2	8	1	0	0	0	0	0	8	0
338	"抵抗力上升(冰)"	4	4	0	0	0	0	0	0	0	-1	3	337	0	0	0	0	3	3	3	3	3	3	2	8	1	0	0	0	0	0	8	0
339	"抵抗力上升(冰)"	5	5	0	0	0	0	0	0	0	-1	3	338	0	0	0	0	3	3	3	3	3	3	2	8	2	0	0	0	0	0	8	0
340	"加强生命力自动恢复"	1	1	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	1	0	0	0	0	0	9	0
341	"加强生命力自动恢复"	2	2	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	1	0	0	0	0	0	9	0
342	"加强生命力自动恢复"	3	3	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	1	0	0	0	0	0	9	0
343	"加强生命力自动恢复"	4	4	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	1	0	0	0	0	0	9	0
344	"加强生命力自动恢复"	5	5	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	2	0	0	0	0	0	9	0
345	"增加金"	1	40	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	1	0	0	0	0	0	10	0
346	"增加金"	2	80	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	1	0	0	0	0	0	10	0
347	"增加金"	3	120	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	1	0	0	0	0	0	10	0
348	"增加金"	4	160	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	1	0	0	0	0	0	10	0
349	"增加金"	5	200	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	2	0	0	0	0	0	10	0
350	"防御力增加"	1	50	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	11	1	0	0	0	0	0	11	0
351	"防御力增加"	2	100	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	11	1	0	0	0	0	0	11	0
